"anio","codigo_canton","provincia","canton","matricula_estatal_total","matricula_mujeres","matricula_hombres","matricula_sexo_no_especificado","porcentaje_mujeres","porcentaje_hombres","matricula_primer_ingreso","matricula_no_primer_ingreso","universidad_predominante","cantidad_universidad_predominante","carrera_predominante","cantidad_carrera_predominante","cantidad_universidades_distintas","cantidad_carreras_distintas"
2022,502,"GUANACASTE","NICOYA",1392,815,577,0,58.55,41.45,290,1102,"UNIVERSIDAD NACIONAL",539,"ADMINISTRACION",165,5,180
2022,503,"GUANACASTE","SANTA CRUZ",1231,719,512,0,58.41,41.59,240,991,"UNIVERSIDAD NACIONAL",389,"ADMINISTRACION",85,5,171
2022,504,"GUANACASTE","BAGACES",711,423,288,0,59.49,40.51,148,563,"UNIVERSIDAD DE COSTA RICA",224,"ADMINISTRACION DE EMPRESAS",31,5,138
2022,505,"GUANACASTE","CARRILLO",725,409,316,0,56.41,43.59,128,597,"UNIVERSIDAD DE COSTA RICA",244,"ADMINISTRACION",71,5,118
2022,506,"GUANACASTE","CANAS",963,549,414,0,57.01,42.99,193,770,"UNIVERSIDAD TECNICA NACIONAL",444,"INGENIERIA TECNOLOGIAS DE INFORMACION",75,5,146
2022,507,"GUANACASTE","ABANGARES",458,290,168,0,63.32,36.68,91,367,"UNIVERSIDAD TECNICA NACIONAL",144,"ADMINISTRACION DE EMPRESAS",29,5,117
2022,508,"GUANACASTE","TILARAN",820,491,329,0,59.88,40.12,193,627,"UNIVERSIDAD TECNICA NACIONAL",240,"INGENIERIA TECNOLOGIAS DE INFORMACION",43,5,165
2022,509,"GUANACASTE","NANDAYURE",354,212,142,0,59.89,40.11,73,281,"UNIVERSIDAD NACIONAL",114,"ADMINISTRACION",27,5,110
2022,510,"GUANACASTE","LA CRUZ",657,433,224,0,65.91,34.09,134,523,"UNIVERSIDAD ESTATAL A DISTANCIA",246,"ADMINISTRACION DE EMPRESAS",56,5,102
2022,511,"GUANACASTE","HOJANCHA",264,155,109,0,58.71,41.29,42,222,"UNIVERSIDAD NACIONAL",96,"ADMINISTRACION",27,5,93
2022,601,"PUNTARENAS","PUNTARENAS",3026,1689,1337,0,55.82,44.18,642,2384,"UNIVERSIDAD TECNICA NACIONAL",1228,"GESTION Y ADMINISTRACION EMPRESARIAL",156,5,231
2022,602,"PUNTARENAS","ESPARZA",1331,736,595,0,55.3,44.7,290,1041,"UNIVERSIDAD TECNICA NACIONAL",479,"INGENIERIA PRODUCCION INDUSTRIAL",62,5,184
2022,603,"PUNTARENAS","BUENOS AIRES",1498,938,560,0,62.62,37.38,264,1234,"UNIVERSIDAD ESTATAL A DISTANCIA",725,"EDUCACION GENERAL BASICA I Y II CICLOS",154,5,193
2022,604,"PUNTARENAS","MONTES DE ORO",527,287,240,0,54.46,45.54,115,412,"UNIVERSIDAD TECNICA NACIONAL",167,"EDUCACION GENERAL BASICA I Y II CICLOS",28,5,125
2022,605,"PUNTARENAS","OSA",500,323,177,0,64.6,35.4,120,380,"UNIVERSIDAD ESTATAL A DISTANCIA",215,"ADMINISTRACION DE EMPRESAS",51,5,122
2022,606,"PUNTARENAS","QUEPOS",401,242,159,0,60.35,39.65,79,322,"UNIVERSIDAD ESTATAL A DISTANCIA",202,"ADMINISTRACION DE EMPRESAS",54,5,124
2022,607,"PUNTARENAS","GOLFITO",815,490,325,0,60.12,39.88,162,653,"UNIVERSIDAD ESTATAL A DISTANCIA",289,"ADMINISTRACION DE EMPRESAS",51,5,142
2022,608,"PUNTARENAS","COTO BRUS",1332,839,493,0,62.99,37.01,216,1116,"UNIVERSIDAD ESTATAL A DISTANCIA",524,"EDUCACION GENERAL BASICA I Y II CICLOS",122,5,184
2022,609,"PUNTARENAS","PARRITA",214,137,77,0,64.02,35.98,40,174,"UNIVERSIDAD ESTATAL A DISTANCIA",92,"ADMINISTRACION DE EMPRESAS",21,5,95
2022,610,"PUNTARENAS","CORREDORES",1214,748,466,0,61.61,38.39,258,956,"UNIVERSIDAD ESTATAL A DISTANCIA",471,"ADMINISTRACION",84,5,174
2022,611,"PUNTARENAS","GARABITO",238,147,91,0,61.76,38.24,58,180,"UNIVERSIDAD DE COSTA RICA",88,"ADMINISTRACION DE EMPRESAS",19,5,97
2022,701,"LIMON","LIMON",1683,962,721,0,57.16,42.84,300,1383,"UNIVERSIDAD DE COSTA RICA",720,"ADMINISTRACION DE EMPRESAS",184,5,194
2022,702,"LIMON","POCOCI",3265,1905,1360,0,58.35,41.65,647,2618,"UNIVERSIDAD ESTATAL A DISTANCIA",1163,"EDUCACION GENERAL BASICA I Y II CICLOS",230,5,247
2022,703,"LIMON","SIQUIRRES",1047,624,423,0,59.6,40.4,213,834,"UNIVERSIDAD DE COSTA RICA",453,"ADMINISTRACION DE EMPRESAS",80,5,174
2022,704,"LIMON","TALAMANCA",703,426,277,0,60.6,39.4,148,555,"UNIVERSIDAD ESTATAL A DISTANCIA",319,"EDUCACION GENERAL BASICA I Y II CICLOS",68,5,136
2022,705,"LIMON","MATINA",624,375,249,0,60.1,39.9,114,510,"UNIVERSIDAD DE COSTA RICA",273,"EDUCACION GENERAL BASICA I Y II CICLOS",51,5,125
2022,706,"LIMON","GUACIMO",826,513,313,0,62.11,37.89,188,638,"UNIVERSIDAD ESTATAL A DISTANCIA",312,"ADMINISTRACION DE EMPRESAS",65,5,157
2023,101,"SAN JOSE","SAN JOSE",5093,2665,2408,20,52.33,47.28,808,4285,"UNIVERSIDAD DE COSTA RICA",2574,"ADMINISTRACION DE EMPRESAS",408,5,392
2023,102,"SAN JOSE","ESCAZU",1336,695,632,9,52.02,47.31,198,1138,"UNIVERSIDAD DE COSTA RICA",690,"ADMINISTRACION DE EMPRESAS",99,5,238
2023,103,"SAN JOSE","DESAMPARADOS",3751,2127,1613,11,56.7,43,647,3104,"UNIVERSIDAD DE COSTA RICA",1642,"ADMINISTRACION DE EMPRESAS",432,5,296
2023,104,"SAN JOSE","PURISCAL",1108,673,433,2,60.74,39.08,164,944,"UNIVERSIDAD ESTATAL A DISTANCIA",505,"ADMINISTRACION DE EMPRESAS",117,5,179
2023,105,"SAN JOSE","TARRAZU",617,376,240,1,60.94,38.9,113,504,"UNIVERSIDAD ESTATAL A DISTANCIA",257,"ADMINISTRACION DE EMPRESAS",59,5,151
2023,106,"SAN JOSE","ASERRI",1269,731,537,1,57.6,42.32,201,1068,"UNIVERSIDAD DE COSTA RICA",552,"ADMINISTRACION DE EMPRESAS",146,5,203
2023,107,"SAN JOSE","MORA",725,412,312,1,56.83,43.03,131,594,"UNIVERSIDAD DE COSTA RICA",272,"ADMINISTRACION DE EMPRESAS",76,5,177
2023,108,"SAN JOSE","GOICOECHEA",2719,1385,1327,7,50.94,48.8,450,2269,"UNIVERSIDAD DE COSTA RICA",1452,"ADMINISTRACION DE EMPRESAS",226,5,297
2023,109,"SAN JOSE","SANTA ANA",1060,559,501,0,52.74,47.26,189,871,"UNIVERSIDAD DE COSTA RICA",566,"ADMINISTRACION DE EMPRESAS",76,5,213
2023,110,"SAN JOSE","ALAJUELITA",968,515,448,5,53.2,46.28,193,775,"UNIVERSIDAD DE COSTA RICA",372,"ADMINISTRACION DE EMPRESAS",128,5,189
2023,111,"SAN JOSE","VAZQUEZ DE CORONADO",1808,940,866,2,51.99,47.9,261,1547,"UNIVERSIDAD DE COSTA RICA",888,"ADMINISTRACION DE EMPRESAS",160,5,260
