"anio","codigo_canton","canton_original","canton","indice_competitividad","ranking_competitividad","categoria_competitividad","pilar_economico","pilar_empresarial","pilar_gobierno","pilar_laboral","pilar_infraestructura","pilar_innovacion","pilar_calidad_vida","femicidio_art_21","femicidio_otros_contextos","femicidio_ampliado","sospecha_femicidio","homicidios_mujeres_no_femicidio","homicidios_mujeres_sin_revision","homicidios_mujeres_pendientes","homicidios_indeterminado","femicidios_registrados","muertes_violentas_mujeres_total","matricula_estatal_total","matricula_mujeres","matricula_hombres","matricula_sexo_no_especificado","porcentaje_mujeres","porcentaje_hombres","matricula_primer_ingreso","matricula_no_primer_ingreso","universidad_predominante","cantidad_universidad_predominante","carrera_predominante","cantidad_carrera_predominante","cantidad_universidades_distintas","cantidad_carreras_distintas"
2022,116,"Turrubares","TURRUBARES",29.510372877121,80,"Bajo",17.8656682372093,11.9178868830204,59.1305315494537,31.3952088356018,26.4990627765656,33.7615847587585,26.0026752948761,0,0,0,0,1,0,0,0,0,1,163,101,62,0,61.96,38.04,32,131,"UNIVERSIDAD ESTATAL A DISTANCIA",63,"ADMINISTRACION DE EMPRESAS",16,5,68
2022,117,"Dota","DOTA",42.4689114093781,54,"Medio",37.0603799819946,26.8284469842911,51.3154745101929,38.4118020534515,48.1405913829803,36.3823294639587,59.1433525085449,0,0,0,0,0,0,0,0,0,0,228,138,90,0,60.53,39.47,36,192,"UNIVERSIDAD ESTATAL A DISTANCIA",92,"ADMINISTRACION DE EMPRESAS",18,5,111
2022,118,"Curridabat","CURRIDABAT",63.4228765964508,4,"Alto",65.9966826438904,58.8902950286865,53.942346572876,62.9775047302246,78.5949766635895,72.1773028373718,51.3810396194458,0,0,0,0,0,0,0,0,0,0,2020,1017,1003,0,50.35,49.65,305,1715,"UNIVERSIDAD DE COSTA RICA",1196,"ADMINISTRACION DE EMPRESAS",158,5,293
2022,119,"Pérez Zeledón","PEREZ ZELEDON",42.8610503673553,50,"Medio",34.9120527505875,30.1978528499603,30.9378355741501,69.0149903297424,49.4598031044006,35.4501128196716,50.0546991825104,0,0,0,0,0,0,0,0,0,0,5032,2829,2203,0,56.22,43.78,854,4178,"UNIVERSIDAD ESTATAL A DISTANCIA",1866,"ADMINISTRACION DE EMPRESAS",289,5,272
2022,120,"León Cortés","LEON CORTES",31.8179845809937,76,"Bajo",12.2761659324169,1.86427962034941,41.4381146430969,35.5924844741821,37.1464669704437,36.3551467657089,58.0532431602478,0,0,0,0,0,0,0,0,0,0,492,311,181,0,63.21,36.79,66,426,"UNIVERSIDAD ESTATAL A DISTANCIA",250,"ADMINISTRACION DE EMPRESAS",51,5,132
2022,201,"Alajuela","ALAJUELA",60.6629371643066,10,"Alto",67.9325819015503,49.638369679451,38.830977678299,77.6017487049103,65.6346201896667,82.1772575378418,42.8249835968018,1,0,0,0,1,0,0,0,1,2,8401,4534,3867,0,53.97,46.03,1808,6593,"UNIVERSIDAD TECNICA NACIONAL",3319,"ADMINISTRACION DE EMPRESAS",558,5,362
2022,202,"San Ramón","SAN RAMON",45.0144797563553,42,"Medio",36.4322364330292,32.6148688793182,31.497922539711,65.5577301979065,52.2149920463562,46.7887103557587,49.9949067831039,0,1,0,0,0,0,0,0,1,1,3655,2113,1542,0,57.81,42.19,583,3072,"UNIVERSIDAD DE COSTA RICA",1719,"ADMINISTRACION DE EMPRESAS",229,5,283
2022,203,"Grecia","GRECIA",49.2346882820129,20,"Medio",51.1404037475586,33.1924229860306,35.2024108171463,60.8297288417816,57.7137529850006,58.7406039237976,47.8234946727753,0,0,0,0,0,0,0,0,0,0,2264,1197,1067,0,52.87,47.13,384,1880,"UNIVERSIDAD DE COSTA RICA",1075,"INFORMATICA EMPRESARIAL",99,5,253
2022,204,"San Mateo","SAN MATEO",42.5414383411407,52,"Medio",33.0219358205795,19.7691813111305,60.4528665542603,57.4394822120667,37.7965927124023,30.9076577425003,58.4023535251617,0,0,0,0,0,0,0,0,0,0,202,124,78,0,61.39,38.61,37,165,"UNIVERSIDAD TECNICA NACIONAL",64,"ADMINISTRACION DE EMPRESAS",15,5,87
2022,205,"Atenas","ATENAS",48.241400718689,24,"Medio",42.510923743248,32.0579320192337,35.560530424118,62.3607039451599,54.3234288692474,56.4887344837189,54.3875515460968,0,0,0,0,0,0,0,0,0,0,951,524,427,0,55.1,44.9,177,774,"UNIVERSIDAD DE COSTA RICA",359,"CONTABILIDAD Y FINANZAS",73,5,192
2022,206,"Naranjo","NARANJO",47.2434520721436,31,"Medio",39.4890993833542,32.1583718061447,36.1250966787338,59.9830210208893,57.4699997901917,49.8638600111008,55.6147217750549,0,0,0,0,0,0,0,0,0,0,1557,876,681,0,56.26,43.74,280,1277,"UNIVERSIDAD DE COSTA RICA",542,"ADMINISTRACION DE EMPRESAS",84,5,225
2022,207,"Palmares","PALMARES",47.8675216436386,26,"Medio",43.6510890722275,38.9550447463989,30.879607796669,62.6151561737061,63.9808833599091,47.7208316326141,47.2700417041779,0,0,0,0,0,0,0,0,0,0,1482,805,677,0,54.32,45.68,242,1240,"UNIVERSIDAD DE COSTA RICA",656,"ADMINISTRACION DE EMPRESAS",102,5,222
