"anio","codigo_canton","provincia","canton","femicidio_art_21","femicidio_otros_contextos","femicidio_ampliado","sospecha_femicidio","homicidios_mujeres_no_femicidio","homicidios_mujeres_sin_revision","homicidios_mujeres_pendientes","homicidios_indeterminado","femicidios_registrados","muertes_violentas_mujeres_total"
2024,403,"HEREDIA","SANTO DOMINGO",1,0,0,0,0,0,0,0,1,1
2024,405,"HEREDIA","SAN RAFAEL",1,0,0,0,0,0,0,0,1,1
2024,502,"GUANACASTE","NICOYA",0,0,0,0,1,0,0,0,0,1
2024,601,"PUNTARENAS","PUNTARENAS",0,0,0,0,0,1,0,0,0,1
2024,603,"PUNTARENAS","BUENOS AIRES",1,0,0,0,0,0,0,0,1,1
2024,605,"PUNTARENAS","OSA",1,1,0,0,0,0,0,0,2,2
2024,608,"PUNTARENAS","COTO BRUS",1,0,0,0,0,0,0,0,1,1
2024,609,"PUNTARENAS","PARRITA",1,0,0,0,0,0,0,0,1,1
2024,611,"PUNTARENAS","GARABITO",0,0,0,0,0,1,0,0,0,1
2024,701,"LIMON","LIMON",0,0,0,0,0,2,1,0,0,3
2024,702,"LIMON","POCOCI",0,0,0,0,0,1,0,0,0,1
2024,705,"LIMON","MATINA",1,0,0,0,0,3,0,0,1,4
2024,706,"LIMON","GUACIMO",1,0,0,0,0,0,0,0,1,1
